Month and Year,Total Children in Care,Percent of State Total,Male,Percent Male,Female,Percent Female,Sex Unknown,Percent Sex Unknown,Black,Percent Black,White,Percent White,American Indian Alaskan Native,Percent American Indian Alaskan Native,Asian,Percent Asian,Hawaiian Pacific Islander,Percent Hawaiian Pacific Islander,Multi-race,Percent Multi-race,Race Unknown,Percent Race Unknown,Hispanic,Percent Hispanic,Age Under 1,Percent Under 1,Age 1 Through 5,Percent 1 Through 5,Age 6 Through 9,Percent 6 Through 9,Age 10 Through 12,Percent 10 Through 12,Age 13 Through 15,Percent 13 Through 15,Age 16 Through 18,Percent 16 Through 18,Age 19 And Over,Percent 19 And Over,Age 16 Through 17,Percent 16 Through 17,Age 18 And Over,Percent 18 And Over,Date of Birth Not Entered,Percent Date of Birth Not Entered,Goal Return Home,Percent Goal Return Home,Goal Relative Placement,Percent Goal Relative Placement,Goal Adoption,Percent Goal Adoption,Goal Permanent Foster Care,Percent Goal Permanent Foster Care,Goal Independent Living,Percent Goal Independent Living,Goal Another Planned Permanent Living Arrangement,Percent Goal Another Planned Permanent Living Arrangement,Goal Continued Foster Care,Percent Goal Continued Foster Care,Goal To Be Determined,Percent Goal To Be Determined,Goal Guardianship,Percent Goal Guardianship,No Goal Entered,Percent No Goal Entered,Average Time in Care (ATC) (In Months),ATC Goal Return Home,ATC Goal Placement with Relatives,ATC Goal Adoption,ATC Goal Permanent Foster Care,ATC Goal Independent Living,ATC Goal Another Planned Permanent Living Arrangement,ATC Continued Foster Care,ATC Goal To Be Determined,ATC Goal Guardianship,ATC No Goal Entered
February 2011,253,0.043,139,0.549,114,0.451,0,0,192,0.759,43,0.17,0,0,4,0.016,1,0.004,10,0.04,3,0.012,10,0.04,13,0.051,64,0.253,32,0.126,28,0.111,41,0.162,51,0.202,24,0.095,,,,,0,0,85,0.336,18,0.071,86,0.34,1,0.004,52,0.206,4,0.016,0,0,6,0.024,0,0,1,0.004,42.86,11.09,24.15,51.83,117.57,84.61,115.82,0,4.85,0,0.89
March 2011,253,0.043,135,0.534,118,0.466,0,0,197,0.779,40,0.158,0,0,4,0.016,1,0.004,9,0.036,2,0.008,9,0.036,9,0.036,67,0.265,35,0.138,28,0.111,38,0.15,51,0.202,25,0.099,,,,,0,0,86,0.34,18,0.071,89,0.352,1,0.004,50,0.198,4,0.016,0,0,4,0.016,0,0,1,0.004,43.43,10.24,25.17,52.25,118.59,87.93,116.84,0,4.8,0,1.91
April 2011,261,0.045,140,0.536,121,0.464,0,0,202,0.774,43,0.165,0,0,4,0.015,1,0.004,9,0.034,2,0.008,10,0.038,10,0.038,73,0.28,34,0.13,29,0.111,34,0.13,57,0.218,24,0.092,,,,,0,0,95,0.364,19,0.073,82,0.314,1,0.004,50,0.192,4,0.015,0,0,8,0.031,0,0,2,0.008,42.07,12.53,24.08,52.54,119.57,86.04,117.83,0,15.9,0,1.59
May 2011,267,0.046,139,0.521,128,0.479,0,0,204,0.764,46,0.172,0,0,4,0.015,3,0.011,8,0.03,2,0.007,11,0.041,11,0.041,75,0.281,37,0.139,29,0.109,35,0.131,56,0.21,24,0.09,,,,,0,0,103,0.386,20,0.075,81,0.303,1,0.004,48,0.18,4,0.015,0,0,9,0.034,0,0,1,0.004,41.52,12.14,25.09,53.71,120.59,88.3,118.85,0,16.31,0,0.62
June 2011,263,0.046,134,0.51,129,0.49,0,0,200,0.76,45,0.171,0,0,4,0.015,3,0.011,10,0.038,1,0.004,10,0.038,14,0.053,71,0.27,38,0.144,29,0.11,35,0.133,52,0.198,24,0.091,,,,,0,0,103,0.392,18,0.068,85,0.323,0,0,45,0.171,4,0.015,0,0,7,0.027,0,0,1,0.004,39.91,10.33,25,53.33,0,84.63,119.84,0,22.96,0,0.82
July 2011,246,0.043,124,0.504,122,0.496,0,0,182,0.74,46,0.187,0,0,4,0.016,2,0.008,10,0.041,1,0.004,10,0.041,13,0.053,67,0.272,35,0.142,28,0.114,33,0.134,50,0.203,20,0.081,,,,,0,0,83,0.337,22,0.089,92,0.374,0,0,40,0.163,4,0.016,0,0,4,0.016,0,0,1,0.004,39.9,10.12,18.46,51.53,0,82.62,120.85,0,9.35,0,1.84
August 2011,232,0.042,120,0.517,112,0.483,0,0,170,0.733,45,0.194,0,0,4,0.017,2,0.009,10,0.043,1,0.004,10,0.043,10,0.043,62,0.267,36,0.155,24,0.103,31,0.134,47,0.203,22,0.095,,,,,0,0,72,0.31,22,0.095,89,0.384,0,0,38,0.164,4,0.017,0,0,5,0.022,0,0,2,0.009,40.71,11.12,19.26,51.24,0,82.05,121.87,0,10.78,0,0.49
September 2011,225,0.04,119,0.529,106,0.471,0,0,166,0.738,45,0.2,0,0,1,0.004,2,0.009,10,0.044,1,0.004,10,0.044,10,0.044,62,0.276,34,0.151,23,0.102,28,0.124,48,0.213,20,0.089,,,,,0,0,68,0.302,24,0.107,87,0.387,0,0,38,0.169,4,0.018,0,0,4,0.018,0,0,0,0,41.07,11.26,20.13,50.87,0,79.68,122.86,0,11.36,0,0
October 2011,230,0.042,122,0.53,108,0.47,0,0,172,0.748,47,0.204,0,0,1,0.004,2,0.009,8,0.035,0,0,8,0.035,14,0.061,59,0.257,37,0.161,23,0.1,29,0.126,49,0.213,19,0.083,,,,,0,0,74,0.322,32,0.139,79,0.343,0,0,39,0.17,3,0.013,0,0,2,0.009,0,0,1,0.004,38.18,10.98,18.13,50.34,0,79.18,98.82,0,11.28,0,0
November 2011,226,0.041,121,0.535,105,0.465,0,0,167,0.739,44,0.195,0,0,1,0.004,2,0.009,12,0.053,0,0,7,0.031,13,0.058,61,0.27,34,0.15,22,0.097,29,0.128,49,0.217,18,0.08,,,,,0,0,80,0.354,32,0.142,71,0.314,0,0,37,0.164,3,0.013,0,0,3,0.013,0,0,0,0,37.24,10.61,18.3,51.54,0,80.7,99.8,0,11.96,0,0
