_id,Month and Year,Number of Children,Percent of State Total,Male,Percent Male,Female,Percent Female,Sex Unknown,Percent Sex Unknown,Black,Percent Black,White,Percent White,American Indian Alaskan Native,Percent American Indian Alaskan Native,Asian,Percent Asian,Hawaiian Pacific Islander,Percent Hawaiian Pacific Islander,Multi-race,Percent Multi-race,Race Unknown,Percent Race Unknown,Hispanic,Percent Hispanic,Age Under 1,Percent Under 1,Age 1 Through 5,Percent 1 Through 5,Age 6 Through 9,Percent 6 Through 9,Age 10 Through 12,Percent 10 Through 12,Age 13 Through 15,Percent 13 Through 15,Age 16 Through 18,Percent 16 Through 18,Age 19 And Over,Percent 19 And Over,Age 16 Through 17,Percent 16 Through 17,Age 18 And Over,Percent 18 And Over,Date of Birth Not Entered,Percent Date of Birth Not Entered,With Termination of Parental Rights,Percent With Termination of Parental Rights,Awaiting Placement,Percent Awaiting Placement,In Placement,Percent In Placement,Left Through Adoption,Percent Left Through Adoption
1,January 2011,87,0.065,41,0.4713,46,0.5287,0,0,64,0.7356,13,0.1494,0,0,3,0.0345,0,0,5,0.0575,2,0,3,0.0345,0,0,28,0.3218,15,0.1724,16,0.1839,19,0.2184,9,0.1034,0,0,,,,,0,0,69,0.7931,60,0.6897,9,0.1034,0,0
2,February 2011,86,0.0639,40,0.4651,46,0.5349,0,0,64,0.7442,12,0.1395,0,0,3,0.0349,0,0,6,0.0698,1,0,4,0.0465,1,0.0116,26,0.3023,15,0.1744,16,0.186,19,0.2209,9,0.1047,0,0,,,,,0,0,70,0.814,61,0.7093,9,0.1047,0,0
3,March 2011,89,0.0659,41,0.4607,48,0.5393,0,0,67,0.7528,12,0.1348,0,0,3,0.0337,0,0,6,0.0674,1,0,4,0.0449,1,0.0112,26,0.2921,17,0.191,16,0.1798,19,0.2135,10,0.1124,0,0,,,,,0,0,74,0.8315,65,0.7303,9,0.1011,1,0.0112
4,April 2011,82,0.061,38,0.4634,44,0.5366,0,0,61,0.7439,12,0.1463,0,0,3,0.0366,0,0,5,0.061,1,0,4,0.0488,1,0.0122,25,0.3049,14,0.1707,13,0.1585,18,0.2195,11,0.1341,0,0,,,,,0,0,71,0.8659,57,0.6951,14,0.1707,2,0.0244
5,May 2011,81,0.0589,37,0.4568,44,0.5432,0,0,61,0.7531,12,0.1481,0,0,3,0.037,0,0,4,0.0494,1,0,4,0.0494,1,0.0123,24,0.2963,14,0.1728,13,0.1605,17,0.2099,12,0.1481,0,0,,,,,0,0,70,0.8642,57,0.7037,13,0.1605,2,0.0247
6,June 2011,85,0.0622,40,0.4706,45,0.5294,0,0,64,0.7529,12,0.1412,0,0,3,0.0353,0,0,5,0.0588,1,0,4,0.0471,1,0.0118,22,0.2588,17,0.2,17,0.2,17,0.2,11,0.1294,0,0,,,,,0,0,75,0.8824,64,0.7529,11,0.1294,4,0.0471
7,July 2011,92,0.0691,43,0.4674,49,0.5326,0,0,67,0.7283,14,0.1522,0,0,4,0.0435,0,0,6,0.0652,1,0,4,0.0435,1,0.0109,28,0.3043,17,0.1848,18,0.1957,17,0.1848,11,0.1196,0,0,,,,,0,0,76,0.8261,58,0.6304,18,0.1957,2,0.0217
8,August 2011,89,0.0678,44,0.4944,45,0.5056,0,0,63,0.7079,15,0.1685,0,0,4,0.0449,0,0,6,0.0674,1,0,5,0.0562,1,0.0112,26,0.2921,18,0.2022,15,0.1685,17,0.191,12,0.1348,0,0,,,,,0,0,75,0.8427,59,0.6629,16,0.1798,4,0.0449
9,September 2011,87,0.0669,45,0.5172,42,0.4828,0,0,63,0.7241,16,0.1839,0,0,1,0.0115,0,0,6,0.069,1,0,5,0.0575,0,0,28,0.3218,16,0.1839,14,0.1609,16,0.1839,13,0.1494,0,0,,,,,0,0,77,0.8851,59,0.6782,18,0.2069,3,0.0345
10,October 2011,79,0.0617,42,0.5316,37,0.4684,0,0,58,0.7342,16,0.2025,0,0,1,0.0127,0,0,4,0.0506,0,0,3,0.038,0,0,22,0.2785,16,0.2025,14,0.1772,15,0.1899,12,0.1519,0,0,,,,,0,0,70,0.8861,58,0.7342,12,0.1519,6,0.0759
